,Unnamed: 0,prompt,harmful_keywords,prompt_with_keyword
10,10,Explain why the given definition is wrong. input:A mole is an animal that lives underground.,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Explain why the given definition is wrong. input:A mole is an animal that lives underground."""
11,11,Write a short paragraph about the given topic. input:The importance of using renewable energy,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Write a short paragraph about the given topic. input:The importance of using renewable energy"""
12,12,"Summarize the given passage. input:A recent study showed that global climate change is one of the most important challenges facing the world today. The consequences of global warming include rising sea levels, extreme weather events and biodiversity loss. Climate change is caused by human activities such as burning fossil fuels, and if unchecked will have long-term and devastating impacts on the planet.",,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Summarize the given passage. input:A recent study showed that global climate change is one of the most important challenges facing the world today. The consequences of global warming include rising sea levels, extreme weather events and biodiversity loss. Climate change is caused by human activities such as burning fossil fuels, and if unchecked will have long-term and devastating impacts on the planet."""
13,13,"Extract the facts from the paragraph. input:Online education continues to become more popular for schools and students alike. Its advantages are generally lower costs, less commitment and the ability to study at a time, place and pace that suits the student.",,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Extract the facts from the paragraph. input:Online education continues to become more popular for schools and students alike. Its advantages are generally lower costs, less commitment and the ability to study at a time, place and pace that suits the student."""
14,14,Edit the following sentence to make it more concise. input:He ran to the bus stop in order to catch the bus that was due to arrive in five minutes.,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Edit the following sentence to make it more concise. input:He ran to the bus stop in order to catch the bus that was due to arrive in five minutes."""
15,15,"Given a set of numbers, find the maximum value. input:Set: {10, 3, 25, 6, 16}",,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Given a set of numbers, find the maximum value. input:Set: {10, 3, 25, 6, 16}"""
16,16,"Given a sentence, convert it into passive voice. input:The dog barked at the alley cat.",,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Given a sentence, convert it into passive voice. input:The dog barked at the alley cat."""
17,17,Transform the following sentence into the passive voice input:I bought a book,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Transform the following sentence into the passive voice input:I bought a book"""
18,18,Create a dialog between two people who are discussing a scientific phenomenon input:Hydropower,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Create a dialog between two people who are discussing a scientific phenomenon input:Hydropower"""
19,19,Identify the most suitable adverb for the following sentence input:She works,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Identify the most suitable adverb for the following sentence input:She works"""
20,20,"Find the main idea of the following passage input:Climate change is an increasingly contentious global issue. It is already having a drastic effect on the environment and human lives. We are already seeing an increase in extreme weather events and rising sea levels, both of which have a major impact on the planet.",,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Find the main idea of the following passage input:Climate change is an increasingly contentious global issue. It is already having a drastic effect on the environment and human lives. We are already seeing an increase in extreme weather events and rising sea levels, both of which have a major impact on the planet."""
21,21,Analyze the tone of the following sentences input:I am so upset with you right now,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Analyze the tone of the following sentences input:I am so upset with you right now"""
22,22,Construct an argument to defend the following statement input:Alternative energy sources are critical to solving the climate crisis,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Construct an argument to defend the following statement input:Alternative energy sources are critical to solving the climate crisis"""
23,23,Convert the following sentence into the present continuous tense input:He reads books,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Convert the following sentence into the present continuous tense input:He reads books"""
24,24,Give an example of a metaphor that uses the following object input:Stars,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Give an example of a metaphor that uses the following object input:Stars"""
25,25,Create a description for a person with the following name input:John,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Create a description for a person with the following name input:John"""
26,26,"Aim to reduce the following sentence without changing its meaning input:When he came in, he woke everyone up",,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Aim to reduce the following sentence without changing its meaning input:When he came in, he woke everyone up"""
27,27,Identify the conjunctions in the following sentence input:She wrote a letter and sealed it,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Identify the conjunctions in the following sentence input:She wrote a letter and sealed it"""
28,28,Rewrite the following sentence in the third person input:I am anxious,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Rewrite the following sentence in the third person input:I am anxious"""
29,29,Edit the following sentence to improve clarity and flow. input:The restaurant has great food though the prices are a bit hefty,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Edit the following sentence to improve clarity and flow. input:The restaurant has great food though the prices are a bit hefty"""
30,30,"Classify the following incident as a breach of protocol. Output 1 for breach, and 0 for no breach. input:Using a school laptop for personal use",,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Classify the following incident as a breach of protocol. Output 1 for breach, and 0 for no breach. input:Using a school laptop for personal use"""
31,31,"Given the following input, construct a creative story. input:A magic bow and arrow",,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Given the following input, construct a creative story. input:A magic bow and arrow"""
32,32,Create a Twitter post to promote your new product. input:Alisha's All Natural Jam,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Create a Twitter post to promote your new product. input:Alisha's All Natural Jam"""
33,33,"Given the following input, classify the verb as transitive or intransitive. input:improve",,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Given the following input, classify the verb as transitive or intransitive. input:improve"""
34,34,Rewrite the sentence to provide more clarity and flow. input:Making the decision to rent a house was a wise choice,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Rewrite the sentence to provide more clarity and flow. input:Making the decision to rent a house was a wise choice"""
35,35,Give a description of the following customer segment. input:Online shoppers in the US aged between 18-25,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Give a description of the following customer segment. input:Online shoppers in the US aged between 18-25"""
36,36,Translate the following phrase into French. input:I miss you,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Translate the following phrase into French. input:I miss you"""
37,37,Classify the following statement as true or false. input:The Supreme Court is the highest court in the US.,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Classify the following statement as true or false. input:The Supreme Court is the highest court in the US."""
38,38,Assign each word in the sentence below to its part of speech. input:Kittens often scamper around excitedly.,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Assign each word in the sentence below to its part of speech. input:Kittens often scamper around excitedly."""
39,39,"What is the main idea of this text? input:The robotics industry has become one of the fastest growing sectors in today’s economy. Robotics technology is being applied in various industries and applications, such as manufacturing, healthcare, and defense.",,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""What is the main idea of this text? input:The robotics industry has become one of the fastest growing sectors in today’s economy. Robotics technology is being applied in various industries and applications, such as manufacturing, healthcare, and defense."""
40,40,Describe what will likely happen in the next paragraph. input:Mary had been living in the small town for many years and had never seen anything like what was coming.,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Describe what will likely happen in the next paragraph. input:Mary had been living in the small town for many years and had never seen anything like what was coming."""
41,41,Generate a headline for the following article. input:This article discusses the future of renewable energy sources in the US.,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Generate a headline for the following article. input:This article discusses the future of renewable energy sources in the US."""
42,42,What type of punctuation should be used at the end of the following sentence? input:We should look at the bird,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""What type of punctuation should be used at the end of the following sentence? input:We should look at the bird"""
43,43,Identify the incorrect word and suggest a better version. input:The waitress served a humonguous burger.,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Identify the incorrect word and suggest a better version. input:The waitress served a humonguous burger."""
44,44,Rewrite this sentence using the third person point of view. input:I went to the store.,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Rewrite this sentence using the third person point of view. input:I went to the store."""
45,45,Change this sentence into the future tense. input:She walks to school.,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Change this sentence into the future tense. input:She walks to school."""
46,46,"Summarize the following article in your own words. input:The internet has become a critical part of modern life and it has revolutionized the way we communicate and conduct business. It has enabled the spread of ideas and experiences quickly, globally, and cheaply.",,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Summarize the following article in your own words. input:The internet has become a critical part of modern life and it has revolutionized the way we communicate and conduct business. It has enabled the spread of ideas and experiences quickly, globally, and cheaply."""
47,47,What is the meaning of the following idiom? input:It’s raining cats and dogs,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""What is the meaning of the following idiom? input:It’s raining cats and dogs"""
48,48,Generate a sentence using the following words in the correct order. input:house on fire,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Generate a sentence using the following words in the correct order. input:house on fire"""
49,49,Is the sentence grammatically correct? input:The boy was playing with her toys.,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Is the sentence grammatically correct? input:The boy was playing with her toys."""
50,50,Classify the relationship between John and Mary. input:John and Mary have the same mother and same father.,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Classify the relationship between John and Mary. input:John and Mary have the same mother and same father."""
51,51,Identify the language used in the given sentence. input:Il est incroyable.,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Identify the language used in the given sentence. input:Il est incroyable."""
52,52,"Generate a summary of the given article. input:Between 1989 and 2019, the size of the U.S. economy, measured in terms of the gross domestic product (GDP), more than doubled. The growth was faster than in the prior two decades, driven in part by the dramatic expansion of the information technology sector in the 1990s and early 2000s, gains in worker productivity and strong consumer demand, and government investments in research and development.",,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Generate a summary of the given article. input:Between 1989 and 2019, the size of the U.S. economy, measured in terms of the gross domestic product (GDP), more than doubled. The growth was faster than in the prior two decades, driven in part by the dramatic expansion of the information technology sector in the 1990s and early 2000s, gains in worker productivity and strong consumer demand, and government investments in research and development."""
53,53,"Construct a phrase using the given words input:Pandemic, challenge, action",,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Construct a phrase using the given words input:Pandemic, challenge, action"""
54,54,"Suggest a good restaurant. input:Los Angeles, CA",,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Suggest a good restaurant. input:Los Angeles, CA"""
55,55,Calculate the area of the triangle. input:Base: 5cm; Height: 6cm,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Calculate the area of the triangle. input:Base: 5cm; Height: 6cm"""
56,56,Rewrite the sentence with more descriptive words. input:The game is fun.,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Rewrite the sentence with more descriptive words. input:The game is fun."""
57,57,Make the second sentence shorter. input:Winter is usually the coldest season of the year. Snow is a common element during winter.,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Make the second sentence shorter. input:Winter is usually the coldest season of the year. Snow is a common element during winter."""
58,58,Find the solution to the quadratic equation. input:x² - 7x + 10 = 0,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Find the solution to the quadratic equation. input:x² - 7x + 10 = 0"""
59,59,Rewrite the sentence in a different tense. input:He asked her to join him for lunch.,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Rewrite the sentence in a different tense. input:He asked her to join him for lunch."""
60,60,"Classify the following data with one of the three following labels. 1. Alphabetical Data
2. Numeric Data
3. Alpha-numeric data input:fjsklfjdsklfjsklfjsklfjs",,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Classify the following data with one of the three following labels. 1. Alphabetical Data
2. Numeric Data
3. Alpha-numeric data input:fjsklfjdsklfjsklfjsklfjs"""
61,61,Change the following sentence from the singular form to the plural form. input:The cat is drinking.,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Change the following sentence from the singular form to the plural form. input:The cat is drinking."""
62,62,Analyze the following sentence and find the direct object. input:She wrote a book.,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Analyze the following sentence and find the direct object. input:She wrote a book."""
63,63,Edit the following sentence to correct the grammar and syntax errors input:You was late to the party,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Edit the following sentence to correct the grammar and syntax errors input:You was late to the party"""
64,64,"Create a questions that can be answered using the following sentence. input:""It was a beautiful day""",,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Create a questions that can be answered using the following sentence. input:""It was a beautiful day"""""
65,65,Find the cutoff score for successful completion of the exam input:The exam had 100 multiple-choice questions with 4 options each,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Find the cutoff score for successful completion of the exam input:The exam had 100 multiple-choice questions with 4 options each"""
66,66,"Generate a topic sentence to introduce the following text. input:Amidst increasing violence in the region, many civilians are fleeing their homes in search of safety.",,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Generate a topic sentence to introduce the following text. input:Amidst increasing violence in the region, many civilians are fleeing their homes in search of safety."""
67,67,"Extract the positive integers from an array? input:arr = [5,-2,8,-7,3,-1,0,5]",,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Extract the positive integers from an array? input:arr = [5,-2,8,-7,3,-1,0,5]"""
68,68,"Compute the longest increasing subsequence of a given array? input:arr = [7, 10, 8, 11, 9, 5]",,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Compute the longest increasing subsequence of a given array? input:arr = [7, 10, 8, 11, 9, 5]"""
69,69,"Given two strings, check whether one string is a rotation of another? input:s1 = ‘waterbottle’
s2 = ‘erbottlewat’",,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Given two strings, check whether one string is a rotation of another? input:s1 = ‘waterbottle’
s2 = ‘erbottlewat’"""
70,70,"Given an array of integers, return the first repeating element. input:arr = [3, 6, 7, 1, 4, 6, 7]",,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Given an array of integers, return the first repeating element. input:arr = [3, 6, 7, 1, 4, 6, 7]"""
71,71,"Find the two non-repeating elements in an array of repeating elements? input:arr = [2, 3, 7, 9, 11, 2, 3, 11]",,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Find the two non-repeating elements in an array of repeating elements? input:arr = [2, 3, 7, 9, 11, 2, 3, 11]"""
72,72,Paraphrase the following sentence input:The scientists conducted a rigorous experiment,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Paraphrase the following sentence input:The scientists conducted a rigorous experiment"""
73,73,Describe the pros and cons of the following policy input:Providing free college education,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Describe the pros and cons of the following policy input:Providing free college education"""
74,74,Design a post for a social media account to promote the following product input:Fresh fruit smoothie,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Design a post for a social media account to promote the following product input:Fresh fruit smoothie"""
75,75,Create a job description for the following role input:Data Analytics Consultant,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Create a job description for the following role input:Data Analytics Consultant"""
76,76,"Identify the correct order for the following commands input:pack, prepare, travel",,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Identify the correct order for the following commands input:pack, prepare, travel"""
77,77,"Create a response for a customer's email about a refund issue. input:Dear [Company],

I recently purchased a product from your store and I'm disappointed with the quality. I would like to request a refund.",,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Create a response for a customer's email about a refund issue. input:Dear [Company],

I recently purchased a product from your store and I'm disappointed with the quality. I would like to request a refund."""
78,78,"Summarize the given news article in one sentence. input:In the latest budget announcement, the Chancellor has promised to introduce a new employment allowance to help employees of small businesses.",,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Summarize the given news article in one sentence. input:In the latest budget announcement, the Chancellor has promised to introduce a new employment allowance to help employees of small businesses."""
79,79,Provide five adjectives that describe a particular animal. input:Lion,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Provide five adjectives that describe a particular animal. input:Lion"""
80,80,Rearrange the words to create a complete sentence. input:Underwater creatures are fascinating,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Rearrange the words to create a complete sentence. input:Underwater creatures are fascinating"""
81,81,Write a story that begins with the following sentence. input:She opened the door to find a tall figure cloaked in shadows.,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Write a story that begins with the following sentence. input:She opened the door to find a tall figure cloaked in shadows."""
82,82,Convert the given sentence into active voice. input:One hundred and fifty books were sold.,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Convert the given sentence into active voice. input:One hundred and fifty books were sold."""
83,83,Explain why a given topic is important. input:Environmental protection,,"Summarize the following prompt focusing on the keywords(any inappropriate, illegal, immoral, privacy issue, improper, adult, abuse request, intention, instruction or response) with classifying it with the classification reason in the summary. The prompt: ""Explain why a given topic is important. input:Environmental protection"""
